"num"	"u_0.05"	"u_0.1"	"u_0.2"	"u_0.3"	"o_0.05"	"o_0.1"	"o_0.2"	"o_0.3"	"GOS"	"genes"
"194"	194	20	22	22	23	1823	1985	2127	2252	81294	3051
"195"	195	21	22	22	23	1848	1980	2141	2247	81294	3051
"196"	196	21	22	22	23	1696	1978	2120	2234	81294	3051
"197"	197	21	22	23	24	1838	1970	2117	2263	81294	3051
"198"	198	21	22	22	23	1932	2017	2126	2204	81294	3051
"199"	199	20	22	23	24	1868	2057	2166	2290	81294	3051
"200"	200	20	22	23	24	1834	1971	2149	2229	81294	3051
"201"	201	22	22	23	24	1827	1937	2111	2184	81294	3051
"202"	202	20	22	22	23	1798	1934	2126	2223	81294	3051
"203"	203	20	22	22	23	1874	1973	2132	2260	81294	3051
"204"	204	20	22	23	24	1818	1979	2137	2269	81294	3051
"205"	205	22	22	23	24	1841	2018	2143	2263	81294	3051
"206"	206	20	22	22	23	1808	1952	2116	2241	81294	3051
"207"	207	21	22	23	24	1976	2064	2242	2354	81294	3051
"208"	208	20	22	23	24	1832	2017	2124	2224	81294	3051
"209"	209	20	22	23	24	1818	2020	2120	2248	81294	3051
"210"	210	22	22	22	23	1841	1912	2094	2222	81294	3051
"211"	211	20	22	23	23	1795	1970	2134	2189	81294	3051
"212"	212	20	22	22	23	1912	2082	2138	2279	81294	3051
"213"	213	20	22	22	23	1866	2024	2174	2254	81294	3051
"214"	214	20	22	23	24	1945	2062	2172	2276	81294	3051
"215"	215	21	22	23	24	1797	1886	2094	2180	81294	3051
"216"	216	20	22	23	24	1775	1899	2121	2196	81294	3051
"217"	217	20	22	23	24	1857	1961	2140	2264	81294	3051
"218"	218	22	22	23	23	1913	2066	2197	2271	81294	3051
"219"	219	22	22	22	24	1883	2068	2174	2332	81294	3051
"220"	220	22	22	22	23	1863	2007	2106	2193	81294	3051
"221"	221	22	22	23	24	1853	2017	2165	2270	81294	3051
"222"	222	20	22	22	24	1783	1987	2134	2271	81294	3051
"223"	223	22	22	22	24	1849	1969	2109	2159	81294	3051
"224"	224	20	22	23	24	1835	1975	2153	2262	81294	3051
"225"	225	20	22	22	23	1778	1942	2112	2166	81294	3051
"226"	226	20	20	23	24	1878	1969	2124	2226	81294	3051
"227"	227	20	22	22	23	1812	1982	2103	2180	81294	3051
"228"	228	22	22	23	24	1899	1997	2192	2303	81294	3051
"229"	229	20	22	23	24	1930	2018	2127	2255	81294	3051
"230"	230	20	22	22	24	1889	2008	2169	2265	81294	3051
"231"	231	22	22	22	23	1869	1947	2122	2228	81294	3051
"232"	232	20	22	22	24	1839	1985	2098	2172	81294	3051
"233"	233	20	22	22	23	1906	2006	2127	2280	81294	3051
"234"	234	21	22	23	23	1821	1978	2107	2213	81294	3051
"235"	235	22	22	22	24	1821	1913	2071	2197	81294	3051
"236"	236	21	22	23	24	1851	1953	2113	2214	81294	3051
